,timestamp,frame,dotbot_x_mm,dotbot_y_mm,dotbot_z_mm,lh_x_mm,lh_y_mm,lh_z_mm,lh_roll_deg,lh_pitch_deg,lh_yaw_deg
38,2024-05-31T12:03:32.770000Z,682,356.48572,782.0421,980.71952,427.44348,-648.82714,969.22331,-124.47844,-83.61255,-36.67556
39,2024-05-31T12:03:32.780000Z,683,357.46594,783.66937,982.74133,427.39885,-648.84361,969.23612,-124.20644,-83.67615,-36.39735
40,2024-05-31T12:03:32.790000Z,684,358.55458,785.0415,985.03206,427.4089,-648.87151,969.19706,-124.19938,-83.67952,-36.35329
41,2024-05-31T12:03:32.800000Z,685,359.88786,786.44032,987.47468,427.45449,-648.85039,969.22769,-124.71384,-83.63074,-36.93079
42,2024-05-31T12:03:32.810000Z,686,361.43403,787.49496,990.12821,427.43766,-648.88315,969.23296,-124.76983,-83.61804,-36.96362
43,2024-05-31T12:03:32.820000Z,687,363.286,788.73805,992.7459,427.41626,-648.80422,969.1955,-124.19899,-83.67633,-36.42231
44,2024-05-31T12:03:32.830000Z,688,365.42847,789.76152,995.41134,427.41509,-648.86096,969.19455,-124.18284,-83.66982,-36.34938
45,2024-05-31T12:03:32.840000Z,689,367.8071,790.60152,998.05154,427.39792,-648.87152,969.20758,-124.26725,-83.69898,-36.44667
46,2024-05-31T12:03:32.850000Z,690,370.47329,791.69847,1000.40299,427.43083,-648.8604,969.21452,-124.7375,-83.60096,-36.92512
47,2024-05-31T12:03:32.860000Z,691,373.54259,792.59692,1003.12887,427.38997,-648.88233,969.21579,-124.21967,-83.64934,-36.39009
48,2024-05-31T12:03:32.870000Z,692,376.74672,793.42264,1005.55933,427.42969,-648.87753,969.24356,-124.75388,-83.60957,-36.96221
49,2024-05-31T12:03:32.880000Z,693,380.07264,794.29725,1007.99025,427.41708,-648.84284,969.23589,-124.61339,-83.6439,-36.8133
50,2024-05-31T12:03:32.890000Z,694,383.59971,795.06912,1010.28425,427.39401,-648.85478,969.24327,-124.345,-83.69328,-36.53746
51,2024-05-31T12:03:32.900000Z,695,387.16732,795.62894,1012.70126,427.41899,-648.86213,969.24183,-124.75913,-83.61964,-36.97525
52,2024-05-31T12:03:32.910000Z,696,390.87868,796.25101,1014.84055,427.36735,-648.8981,969.24087,-124.02786,-83.69306,-36.20186
53,2024-05-31T12:03:32.920000Z,697,394.7376,796.9029,1017.33639,427.46197,-648.88461,969.24462,-124.8178,-83.55494,-37.02208
54,2024-05-31T12:03:32.930000Z,698,398.65287,797.60603,1019.6848,427.42124,-648.88269,969.26588,-124.45295,-83.65466,-36.65587
55,2024-05-31T12:03:32.940000Z,699,402.75254,798.36993,1022.21752,427.38999,-648.86002,969.22785,-124.1955,-83.67711,-36.40902
56,2024-05-31T12:03:32.950000Z,700,407.06565,799.3672,1024.74754,427.37815,-648.85925,969.23618,-124.2645,-83.7,-36.46207
57,2024-05-31T12:03:32.960000Z,701,411.5242,800.40558,1027.5218,427.39755,-648.83707,969.23592,-124.36223,-83.66325,-36.57025
58,2024-05-31T12:03:32.970000Z,702,416.22459,801.65992,1030.67105,427.38993,-648.85458,969.25787,-124.31387,-83.68543,-36.56541
59,2024-05-31T12:03:32.980000Z,703,421.14469,803.02869,1033.97153,427.38427,-648.85473,969.25152,-124.2611,-83.70058,-36.46175
60,2024-05-31T12:03:32.990000Z,704,426.26805,804.4994,1037.67416,427.36656,-648.8474,969.24536,-123.85994,-83.70846,-36.01991
61,2024-05-31T12:03:33.000000Z,705,431.61076,806.15431,1041.59078,427.41961,-648.85242,969.2381,-124.40574,-83.62971,-36.60781
62,2024-05-31T12:03:33.010000Z,706,437.07931,807.97382,1045.85731,427.48566,-648.84987,969.25203,-124.939,-83.56086,-37.19427
63,2024-05-31T12:03:33.020000Z,707,442.527,809.76045,1050.48137,427.43151,-648.84003,969.24978,-124.6155,-83.59001,-36.85067
64,2024-05-31T12:03:33.030000Z,708,448.13621,811.92551,1055.15564,427.4226,-648.8806,969.23977,-124.45445,-83.65462,-36.64791
65,2024-05-31T12:03:33.040000Z,709,453.55571,813.83441,1059.64902,427.41926,-648.87248,969.22487,-124.29321,-83.61734,-36.4831
66,2024-05-31T12:03:33.050000Z,710,459.11429,816.10445,1064.57044,427.42059,-648.87418,969.22635,-124.43027,-83.64741,-36.6367
67,2024-05-31T12:03:33.060000Z,711,464.65474,818.45323,1069.30442,427.38193,-648.84729,969.21914,-124.27994,-83.70868,-36.48018
